Name,lat,lon,meanWind
MONT DE MARSAN,43.912,-0.508,2.26746098210887
PAU PYRENEES,43.38,-0.419,2.35429171668667
LOURDES,43.179,-0.006,2.84886161341703
LAMOTHE,43.688,0.602,2.15674659144335
ANTICHAN,43.008,1.103,2.11459610027855
BLAGNAC,43.629,1.364,3.81224278056372
FRANCAZAL,43.546,1.368,3.43498471497932
LE SEQUESTRE,43.914,2.113,2.49237652111668
SALVAZA,43.216,2.306,4.87092733613266
BEZIERS VIAS,43.317,3.35,4.4041554173025
SETE,43.4,3.7,4.10621725462801
VIAS,43.324,3.354,4.2546584607885
MEDITERRANEE,43.576,3.963,4.39423412929528
NIMES/COURBESSAC,43.867,4.4,3.24906525573192
GARONS,43.757,4.416,4.02376125327851
LE TUBE,43.523,4.924,5.2417148554337
SALON,43.606,5.109,3.83633660422242
PROVENCE,43.436,5.214,4.69608023979709
CAP COURONNE,43.333,5.05,5.84140625
TOULON,43.1,5.933,4.43518957345972
CAP CEPET,43.083,5.933,6.32268390660306
LEUCATE,42.917,3.067,7.18453608247423
LE PALYVESTRE,43.097,6.146,3.88502732240437
PORQUEROLLES,43,6.233,6.73058391180073
LE CANNET,43.385,6.387,3.16870202772368
CAPE CAMARAT,43.2,6.683,5.58950418544752
TOULON/ILE DU LEVAN,43.033,6.467,7.09078660336199
MANDELIEU,43.542,6.953,2.64101038511467
COTE D AZUR,43.658,7.216,3.92359625668449
CAP FERRAT,43.683,7.333,3.25160316861562
FORMIGUERES,42.61,2.1,4.09212598425197
LES ESCALDES,42.483,1.983,2.13636363636364
SAINT LEOCADIE,42.45,2,3.06969407265774
ST MICHEL DE CUXA,43.433,2.417,0.239189189189189
RIVESALTES,42.74,2.871,4.9085498578292
CAP BEAR,42.517,3.133,9.39489807941558
LA PARATA,41.917,8.617,4.06665412118931
ILE ROUSSE,42.633,8.917,5.19586756887385
SAINT CATHERINE,42.531,8.793,3.68726142436471
CAMPO DELL ORO,41.924,8.803,3.43483100469592
SOLENZARA,41.924,9.406,3.14614229710568
LA CHIAPPA,41.6,9.367,6.36702187324734
CAP PERTUSATO,41.367,9.167,6.73533365925202
ALISTRO,42.267,9.533,3.85017105107939
SUD CORSE,41.501,9.098,3.98739647101188
CAP CORSE,43,9.367,7.6612234643889
PORETTA,42.553,9.484,2.95029103608847
CAPE SAGRO,42.8,9.483,2.0677734375
DATA BUOY 62052,48.5,-5.6,6.88263042799125
NICE BUOY 61001,43.4,7.8,5.4455539827564
LION BUOY 61002,42.1,4.7,7.86487263763353
BUOY 41100 / LESSER ANTILLES,15.9,-57.9,6.788638998377
BUOY 41101 / EAST OF MARTINIQU,14.6,-56.2,7.77362596827739
